Feature,Importance
Transaction_Month,0.15222775370154548
Transaction_DayOfWeek,0.09936803206989611
Location_San Jose,0.07817504202138126
Location_Dallas,0.06812518477192123
Location_Philadelphia,0.06791765884184456
Transaction_Hour,0.06682698936107886
Transaction_Day,0.0663883654932187
Location_Los Angeles,0.062230895682621704
MerchantID,0.05955069931200066
Location_San Antonio,0.05451948958676007
Location_Phoenix,0.05340694825651374
Amount,0.04293146676193917
Location_San Diego,0.038427124266121666
Location_Houston,0.03709492004294258
Location_New York,0.036100958077498885
TransactionType_refund,0.016708471752715316
